transformed_value,cluster_value
Scotland The Brave by Kenneth McKellar,Scotland the Brave by Kenneth McKellar
I have attained the highest power (from Boris Godunov) by Modest Mussorgsky,I have attained the highest power (from Boris Godunov) by Modest Mussorgsky
I have attained the highest power (from Boris Godunov) by Modest Mussorgsky,I Have Attained the Highest Power (from Boris Godunov) by Modest Mussorgsky
Love Will Find a Way by José Collins,Love Will Find a Way by José Collins
Love Will Find a Way by José Collins,Love Will Find A Way by José Collins
Top of the World by Carpenters,Top of the World by Carpenters
Top of the World by Carpenters,Top Of The World by Carpenters
Smoke Gets In Your Eyes by Larry Adler,Smoke Gets In Your Eyes by Larry Adler
Smoke Gets In Your Eyes by Larry Adler,Smoke Gets in Your Eyes by Larry Adler
I'm Gonna Sit Right Down and Write Myself A Letter by Fats Waller and His Rhythm,I'm Gonna Sit Right Down and Write Myself A Letter by Fats Waller and His Rhythm
I'm Gonna Sit Right Down and Write Myself A Letter by Fats Waller and His Rhythm,I'm Gonna Sit Right Down and Write Myself a Letter by Fats Waller and His Rhythm
Symphony No. 4 In F Minor by Peter Ilyich Tchaikovsky,Symphony No. 4 In F Minor by Peter Ilyich Tchaikovsky
Symphony No. 4 In F Minor by Peter Ilyich Tchaikovsky,Symphony No. 4 in F Minor by Peter Ilyich Tchaikovsky
The Holly And The Ivy by King's College Chapel Choir,The Holly And The Ivy by King's College Chapel Choir
The Holly And The Ivy by King's College Chapel Choir,The Holly and The Ivy by King's College Chapel Choir
Summer Night On The River by Frederick Delius,Summer Night On The River by Frederick Delius
Summer Night On The River by Frederick Delius,Summer Night on the River by Frederick Delius
Like a Rolling Stone by Bob Dylan,Like a Rolling Stone by Bob Dylan
Like a Rolling Stone by Bob Dylan,Like A Rolling Stone by Bob Dylan
Let's Face the Music and Dance by Fred Astaire,Let's Face the Music and Dance by Fred Astaire
Let's Face the Music and Dance by Fred Astaire,Let's Face The Music And Dance by Fred Astaire
Island In The Sun by Harry Belafonte,Island In The Sun by Harry Belafonte
Island In The Sun by Harry Belafonte,Island in the Sun by Harry Belafonte
Clair de lune (from Suite bergamasque) by Claude Debussy,Clair de lune (from Suite bergamasque) by Claude Debussy
Clair de lune (from Suite bergamasque) by Claude Debussy,Clair de Lune (from Suite Bergamasque) by Claude Debussy
"Leaving On A Jet Plane by Peter, Paul & Mary","Leaving On A Jet Plane by Peter, Paul & Mary"
"Leaving On A Jet Plane by Peter, Paul & Mary","Leaving on a Jet Plane by Peter, Paul & Mary"
In The Bleak Midwinter by Gustav Holst & Christina Rossetti,In The Bleak Midwinter by Gustav Holst & Christina Rossetti
In The Bleak Midwinter by Gustav Holst & Christina Rossetti,In the Bleak Midwinter by Gustav Holst & Christina Rossetti
Bach Goes To Town by George Malcolm,Bach Goes To Town by George Malcolm
Bach Goes To Town by George Malcolm,Bach Goes to Town by George Malcolm
Ave verum corpus by Wolfgang Amadeus Mozart,Ave verum corpus by Wolfgang Amadeus Mozart
Ave verum corpus by Wolfgang Amadeus Mozart,"Ave, Verum Corpus by Wolfgang Amadeus Mozart"
The Girl from Ipanema,The Girl from Ipanema
The Girl from Ipanema,The Girl From Ipanema
Sacrificial Dance (from The Rite of Spring) by Igor Stravinsky,Sacrificial Dance (from The Rite of Spring) by Igor Stravinsky
Sacrificial Dance (from The Rite of Spring) by Igor Stravinsky,The Sacrificial Dance from the Rite of Spring by Igor Stravinsky
The Importance of Being Ernest (Act 1) by Oscar Wilde,The Importance of Being Ernest (Act 1) by Oscar Wilde
The Importance of Being Ernest (Act 1) by Oscar Wilde,The Importance Of Being Ernest (Act 1) by Oscar Wilde
Fantasia On Greensleeves by Ralph Vaughan Williams,Fantasia On Greensleeves by Ralph Vaughan Williams
Fantasia On Greensleeves by Ralph Vaughan Williams,Fantasia on Greensleeves by Ralph Vaughan Williams
The Road To Morocco,The Road To Morocco
The Road To Morocco,The Road to Morocco
June In January,June In January
June In January,June in January
There's A Hole In My Bucket by Harry Belafonte,There's A Hole In My Bucket by Harry Belafonte
There's A Hole In My Bucket by Harry Belafonte,There's a Hole in My Bucket by Harry Belafonte
Blow the Wind Southerly by Kathleen Ferrier,Blow the Wind Southerly by Kathleen Ferrier
Blow the Wind Southerly by Kathleen Ferrier,Blow The Wind Southerly by Kathleen Ferrier
Serenade To Music by Ralph Vaughan Williams,Serenade To Music by Ralph Vaughan Williams
Serenade To Music by Ralph Vaughan Williams,Serenade to Music by Ralph Vaughan Williams
Dancing In The Dark by Bruce Springsteen,Dancing In The Dark by Bruce Springsteen
Dancing In The Dark by Bruce Springsteen,Dancing in the Dark by Bruce Springsteen
Me And Bobby McGee by Janis Joplin,Me And Bobby McGee by Janis Joplin
Me And Bobby McGee by Janis Joplin,Me and Bobby McGee by Janis Joplin
All the Way by Frank Sinatra,All the Way by Frank Sinatra
All the Way by Frank Sinatra,All The Way by Frank Sinatra
The Italian Girl in Algiers Overture by Gioachino Rossini,The Italian Girl in Algiers Overture by Gioachino Rossini
The Italian Girl in Algiers Overture by Gioachino Rossini,The Italian Girl In Algiers Overture by Gioachino Rossini
Piano Concerto in A Minor by Robert Schumann,Piano Concerto in A Minor by Robert Schumann
Piano Concerto in A Minor by Robert Schumann,Piano Concerto in A minor by Robert Schumann
The Rite of Spring by Igor Stravinsky,The Rite of Spring by Igor Stravinsky
The Rite of Spring by Igor Stravinsky,The Rite Of Spring by Igor Stravinsky
I'm Going To See You Today by Joyce Grenfell,I'm Going To See You Today by Joyce Grenfell
I'm Going To See You Today by Joyce Grenfell,I'm Going to See You Today by Joyce Grenfell
One Nation Under A Groove by Funkadelic,One Nation Under A Groove by Funkadelic
One Nation Under A Groove by Funkadelic,One Nation Under a Groove by Funkadelic
Love Is The Sweetest Thing by Al Bowlly,Love Is The Sweetest Thing by Al Bowlly
Love Is The Sweetest Thing by Al Bowlly,Love is the Sweetest Thing by Al Bowlly
How Can We Hang On To A Dream? by Tim Hardin,How Can We Hang On To A Dream? by Tim Hardin
How Can We Hang On To A Dream? by Tim Hardin,How Can We Hang On to a Dream? by Tim Hardin
Under The Double Eagle by Josef Franz Wagner,Under The Double Eagle by Josef Franz Wagner
Under The Double Eagle by Josef Franz Wagner,Under the Double Eagle by Josef Franz Wagner
Piano Concerto No. 3 in D minor by Sergey Rachmaninov,Piano Concerto No. 3 in D minor by Sergey Rachmaninov
Piano Concerto No. 3 in D minor by Sergey Rachmaninov,Piano Concerto No. 3 in D Minor by Sergey Rachmaninov
Music for the Royal Fireworks by George Frideric Handel,Music for the Royal Fireworks by George Frideric Handel
Music for the Royal Fireworks by George Frideric Handel,Music For The Royal Fireworks by George Frideric Handel
Violin Concerto in B Minor by Edward Elgar,Violin Concerto in B Minor by Edward Elgar
Violin Concerto in B Minor by Edward Elgar,Violin Concerto in B minor by Edward Elgar
"Bess, you is my woman now (from Porgy and Bess) by Camilla Williams & Lawrence Winters","Bess, you is my woman now (from Porgy and Bess) by Camilla Williams & Lawrence Winters"
"Bess, you is my woman now (from Porgy and Bess) by Camilla Williams & Lawrence Winters","Bess, you is my woman now (from Porgy and Bess) by Lawrence Winters & Camilla Williams"
God Bless The Child by Billie Holiday,God Bless The Child by Billie Holiday
God Bless The Child by Billie Holiday,God Bless the Child by Billie Holiday
Brandenburg Concerto No. 5 In D Major by Johann Sebastian Bach,Brandenburg Concerto No. 5 In D Major by Johann Sebastian Bach
Brandenburg Concerto No. 5 In D Major by Johann Sebastian Bach,Brandenburg Concerto No. 5 In D major by Johann Sebastian Bach
Que reste-t-il do nos amours? What remains of our love? by Charles Trenet,Que reste-t-il do nos amours? What remains of our love? by Charles Trenet
Que reste-t-il do nos amours? What remains of our love? by Charles Trenet,Que reste-t-il do nos amours? What remains of our love by Charles Trenet
La Vie En Rose by The Mantovani Orchestra,La Vie En Rose by The Mantovani Orchestra
La Vie En Rose by The Mantovani Orchestra,La Vie en Rose by The Mantovani Orchestra
Once In Royal David's City by King's College Chapel Choir,Once In Royal David's City by King's College Chapel Choir
Once In Royal David's City by King's College Chapel Choir,Once in Royal David's City by King's College Chapel Choir
Orpheus in the Underworld by Jacques Offenbach,Orpheus in the Underworld by Jacques Offenbach
Orpheus in the Underworld by Jacques Offenbach,Orpheus In The Underworld by Jacques Offenbach
The Boys of Summer by Don Henley,The Boys of Summer by Don Henley
The Boys of Summer by Don Henley,The Boys Of Summer by Don Henley
I'm Gonna Sit Right Down and Write Myself A Letter by Fats Waller,I'm Gonna Sit Right Down and Write Myself A Letter by Fats Waller
I'm Gonna Sit Right Down and Write Myself A Letter by Fats Waller,I'm Gonna Sit Right Down and Write Myself a Letter by Fats Waller
You're The Top by Cole Porter,You're The Top by Cole Porter
You're The Top by Cole Porter,You're the Top by Cole Porter
Mass in B minor  - Gloria in excelsis by Johann Sebastian Bach,Mass in B minor  - Gloria in excelsis by Johann Sebastian Bach
Mass in B minor  - Gloria in excelsis by Johann Sebastian Bach,Mass in B minor - Gloria in excelsis by Johann Sebastian Bach
Come Fly With Me by Frank Sinatra,Come Fly With Me by Frank Sinatra
Come Fly With Me by Frank Sinatra,Come Fly with Me by Frank Sinatra
She Moved Through The Fair by Kenneth McKellar,She Moved Through The Fair by Kenneth McKellar
She Moved Through The Fair by Kenneth McKellar,She Moved Through the Fair by Kenneth McKellar
You're The Top by Ethel Merman,You're The Top by Ethel Merman
You're The Top by Ethel Merman,You're the Top by Ethel Merman
The Stately Homes Of England by Noël Coward,The Stately Homes Of England by Noël Coward
The Stately Homes Of England by Noël Coward,The Stately Homes of England by Noël Coward
Three Coins In The Fountain by Frank Sinatra,Three Coins In The Fountain by Frank Sinatra
Three Coins In The Fountain by Frank Sinatra,Three Coins in the Fountain by Frank Sinatra
Symphony Of Psalms by Igor Stravinsky,Symphony Of Psalms by Igor Stravinsky
Symphony Of Psalms by Igor Stravinsky,Symphony of Psalms by Igor Stravinsky
By The Light Of The Silvery Moon by Doris Day,By The Light Of The Silvery Moon by Doris Day
By The Light Of The Silvery Moon by Doris Day,By the Light of the Silvery Moon by Doris Day
You Can Call Me Al by Paul Simon,You Can Call Me Al by Paul Simon
You Can Call Me Al by Paul Simon,You can call me Al by Paul Simon
